,smiles,reactants,reaction_names,num_steps,hits,compound_set
46,CC(=O)Nc1cc(NC(=O)CO)ccc1C,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'CC(=O)O'), 'CC(=O)Nc1cc(NC(=O)OC(C)(C)C)ccc1C', ('CC(=O)Nc1cc(N)ccc1C', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-2
47,CC(=O)Nc1cc(NC(=O)CO)ccn1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'CC(=O)O'), 'CC(=O)Nc1cc(NC(=O)OC(C)(C)C)ccn1', ('CC(=O)Nc1cc(N)ccn1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-3
48,CC(=O)Nc1ccc(C)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(C)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-4
49,CC(=O)Nc1ccc(C)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'CC(=O)O'), 'CC(=O)Nc1ccc(C)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(C)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-5
50,CC(=O)Nc1ccc(F)c(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'CC(=O)O'), 'CC(=O)Nc1ccc(F)c(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1ccc(F)c(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-6
51,CC(=O)Nc1cc(C)cc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'CC(=O)O'), 'CC(=O)Nc1cc(C)cc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-7
52,CC(=O)Nc1cc(C)cc(NC(=O)CO)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1', 'CC(=O)O'), 'CC(=O)Nc1cc(C)cc(NC(=O)OC(C)(C)C)c1', ('CC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0884', 'x0732']",x0884-x0732-merge-3-8
53,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,"[('Oc1cccc(N)c1NC(=O)OC(C)(C)C', 'CC(=O)O'), 'CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C', ('CC(=O)Nc1cccc(O)c1N', 'O=C(O)CO'), ('CC(=O)Nc1cccc(O)c1NC(=O)CO', 'CN(C)C(=O)CCl')]","['Amidation', 'N-Boc_deprotection', 'Amidation', 'Williamson_ether_synthesis']",4,"['x0884', 'x0732']",x0884-x0732-x0922-merge-1-1
54,CC(=O)Nc1cc(C)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-1
55,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,"[('Cc1cnc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ncc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-2
56,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'CC(=O)O'), ('CC(=O)Nc1cc(C)cc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-3
57,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,"[('Nc1cccc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-4
58,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,"[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-5
59,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,"[('Cc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-6
60,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('Fc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-7
61,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,"[('Nc1cc(O)c(C)cc1', 'CC(=O)O'), ('CC(=O)Nc1ccc(C)c(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-8
62,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)c(C)cc1C,"[('Nc1cc(O)c(C)cc1C', 'CC(=O)O'), ('CC(=O)Nc1cc(O)c(C)cc1C', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-9
63,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,"[('Nc1cncc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cncc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0884', 'x0739']",x0884-x0739-merge-3-10
