,smiles,reactants,name,r0,r0_found,r1,r1_found,r2,r2_found,r3,r3_found,r4,r4_found,r5,r5_found,r6,r6_found
28,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('Fc1ccc(O)cc1N', 'CC(=O)O'), ('CC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]",WMXYYSIGMVYKFL-UHFFFAOYSA-N,'Fc1cccOcc1N',, 'CC=OO',, 'CC=ONc1ccOccc1F',, 'O=CCClN1CCOCC1',,,,,,,
29,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,"[('Nc1cc(O)c(C)cc1', 'CC(=O)O'), ('CC(=O)Nc1ccc(C)c(O)c1', 'O=C(CCl)N1CCOCC1')]",VDDVVUWBLUMWLR-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'CC=OO',, 'CC=ONc1cccCcOc1',, 'O=CCClN1CCOCC1',,,,,,,
30,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,"[('Nc1cncc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1cncc(O)c1', 'O=C(CCl)N1CCOCC1')]",ZMNSQVIBTKNQGL-UHFFFAOYSA-N,'Nc1cnccOc1',, 'CC=OO',, 'CC=ONc1cnccOc1',, 'O=CCClN1CCOCC1',,,,,,,
31,CC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,"[('Nc1ccnc(O)c1', 'CC(=O)O'), ('CC(=O)Nc1ccnc(O)c1', 'O=C(CCl)N1CCOCC1')]",BRSYMCNEXAIIKP-UHFFFAOYSA-N,'Nc1ccncOc1',, 'CC=OO',, 'CC=ONc1ccncOc1',, 'O=CCClN1CCOCC1',,,,,,,
32,Cc1cc(NC(=O)C2CCCO2)cc(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'O=C1C(Cl)CCN1C')]",APPQVEGAZDMLRK-UHFFFAOYSA-N,'Cc1ccOccNc1',, 'O=COC1CCCO1',, 'Cc1ccOccNC=OC2CCCO2c1',, 'O=C1CClCCN1C',,,,,,,
33,CN1CCC(Oc2cccc(NC(=O)C3CCCO3)c2)C1=O,"[('Nc1cccc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cccc(O)c1)C1CCCO1', 'O=C1C(Cl)CCN1C')]",VDXZGYJNKRBGHE-UHFFFAOYSA-N,'Nc1ccccOc1',, 'O=COC1CCCO1',, 'O=CNc1ccccOc1C1CCCO1',, 'O=C1CClCCN1C',,,,,,,
34,Cc1ccc(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Cc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1ccc(O)cc1NC(=O)C1CCCO1', 'O=C1C(Cl)CCN1C')]",GVPFTUOBLWBNJI-UHFFFAOYSA-N,'Cc1cccOcc1N',, 'O=COC1CCCO1',, 'Cc1cccOcc1NC=OC1CCCO1',, 'O=C1CClCCN1C',,,,,,,
35,CN1CCC(Oc2ccc(F)c(NC(=O)C3CCCO3)c2)C1=O,"[('Fc1ccc(O)cc1N', 'O=C(O)C1CCCO1'), ('O=C(Nc1cc(O)ccc1F)C1CCCO1', 'O=C1C(Cl)CCN1C')]",FBNVFPGRCAQPCT-UHFFFAOYSA-N,'Fc1cccOcc1N',, 'O=COC1CCCO1',, 'O=CNc1ccOccc1FC1CCCO1',, 'O=C1CClCCN1C',,,,,,,
36,Cc1ccc(NC(=O)C2CCCO2)cc1OC1CCN(C)C1=O,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]",ZTDJEGPURPWKAK-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'O=COC1CCCO1',, 'Cc1cccNC=OC2CCCO2cc1O',, 'O=C1CClCCN1C',,,,,,,
37,Cc1cc(C)c(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'O=C1C(Cl)CCN1C')]",WBDILGJJGDRLFR-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'O=COC1CCCO1',, 'Cc1ccCcNC=OC2CCCO2cc1O',, 'O=C1CClCCN1C',,,,,,,
