,smiles,reactants,reaction_names,num_steps,compound_set,hits,name
37,Cc1cnc(OCC(=O)N(C)C)cc1NC(=O)CO,"[('Cc1cnc(O)cc1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1cnc(O)cc1NC(=O)CO[Si](C)(C)C(C)(C)C', ('Cc1cnc(O)cc1NC(=O)CO', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-2,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,DDPJHXIDNIDGBD-UHFFFAOYSA-N
38,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)CO,"[('Cc1ccc(O)cc1N', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'Cc1ccc(O)cc1NC(=O)CO[Si](C)(C)C(C)(C)C', ('Cc1ccc(O)cc1NC(=O)CO', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-5,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,CDTYWNHOSQYEGO-UHFFFAOYSA-N
39,CN(C)C(=O)COCC(=O)Nc1cncc(O)c1,"[('Nc1cncc(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1cncc(O)c1', ('O=C(CO)Nc1cncc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,ZSOZJLJKIBSDKD-UHFFFAOYSA-N
40,CN(C)C(=O)COCC(=O)Nc1ccnc(O)c1,"[('Nc1ccnc(O)c1', 'C(O)(=O)CO[Si](C(C)(C)C)(C)C'), 'CC(C)(C)[Si](C)(C)OCC(=O)Nc1ccnc(O)c1', ('O=C(CO)Nc1ccnc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,x0922-x0732-merge-1-11,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,KSFNSNPCFGKGTN-UHFFFAOYSA-N
41,Cc1cc(NC(=O)CS)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)CS'), ('Cc1cc(O)cc(NC(=O)CS)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-1,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,LXCOIZPPHPZJLW-UHFFFAOYSA-N
42,Cc1cnc(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Cc1cnc(O)cc1N', 'O=C(O)CS'), ('Cc1cnc(O)cc1NC(=O)CS', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-2,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,CUHAEOJAXNJLLL-UHFFFAOYSA-N
43,Cc1ccc(OCC(=O)N(C)C)cc1NC(=O)CS,"[('Cc1ccc(O)cc1N', 'O=C(O)CS'), ('Cc1ccc(O)cc1NC(=O)CS', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-5,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,YMFXTZASBGMLKF-UHFFFAOYSA-N
44,Cc1ccc(NC(=O)CS)cc1OCC(=O)N(C)C,"[('Nc1cc(O)c(C)cc1', 'O=C(O)CS'), ('Cc1ccc(NC(=O)CS)cc1O', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-8,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,NXZSZVCYCCPQSP-UHFFFAOYSA-N
45,CN(C)C(=O)COc1cc(NC(=O)CS)ccn1,"[('Nc1ccnc(O)c1', 'O=C(O)CS'), ('O=C(CS)Nc1ccnc(O)c1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0732-merge-2-11,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,BTUBGYUTZVMOQE-UHFFFAOYSA-N
46,Cc1cnc(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Cc1cnc(O)cc1N', 'O=C(O)C1CCCO1'), ('Cc1cnc(O)cc1NC(=O)C1CCCO1', 'CN(C)C(=O)CCl')]","['Amidation', 'Williamson_ether_synthesis']",2,x0922-x0416-merge-1-2,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1,TUOVBPCFRQFYGO-UHFFFAOYSA-N
